电影名,主演,上映时间,评分,图片URL,本地图片路径
我不是药神,"徐峥,王传君,周一围",2018-07-05,9.6,https://p0.pipi.cn/mmdb/54ecde9a2c9f2a51ba06d67d795a9434b8421.jpg?imageView2/1/w/160/h/220,maoyan_data\images\我不是药神.jpg
肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",1994-09-10(加拿大),9.5,https://p0.pipi.cn/mmdb/54ecde3311ef2abe12f0ee281b37b5fc0bc2b.jpg?imageView2/1/w/160/h/220,maoyan_data\images\肖申克的救赎.jpg
海上钢琴师,"蒂姆·罗斯,比尔·努恩 ,克兰伦斯·威廉姆斯三世",2019-11-15,9.3,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5cf87ea4f87bd8189dd2c5c8c208886.jpg?imageView2/1/w/160/h/220,maoyan_data\images\海上钢琴师.jpg
绿皮书,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼",2019-03-01,9.5,https://p0.pipi.cn/mmdb/d2dad59253751b230f21f0818a5bfd4d8679c.jpg?imageView2/1/w/160/h/220,maoyan_data\images\绿皮书.jpg
霸王别姬,"张国荣,张丰毅,巩俐",1993-07-26,9.4,https://p0.pipi.cn/mmdb/fb7386beddd338537c8ea3bb80d25a9078b13.jpg?imageView2/1/w/160/h/220,maoyan_data\images\霸王别姬.jpg
美丽人生,"罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克",2020-01-03,9.3,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d2367a3507befaed31a5903.jpg?imageView2/1/w/160/h/220,maoyan_data\images\美丽人生.jpg
这个杀手不太冷,"让·雷诺,娜塔莉·波特曼,加里·奥德曼",2024-11-01,9.6,https://p0.pipi.cn/mmdb/54ecde92339923b12d807750dae3398ce9cce.jpg?imageView2/1/w/160/h/220,maoyan_data\images\这个杀手不太冷.jpg
星际穿越,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦",2014-11-12,9.3,https://p0.pipi.cn/mmdb/d2dad592b125bfc9fd300b8a46169f8008efb.jpg?imageView2/1/w/160/h/220,maoyan_data\images\星际穿越.jpg
盗梦空间,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010-09-01,9.0,https://p0.pipi.cn/mmdb/fb7386510fa2ffd7c3e19bcb2e6ea4dc44460.jpg?imageView2/1/w/160/h/220,maoyan_data\images\盗梦空间.jpg
泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998-04-03,9.6,https://p0.pipi.cn/mmdb/fb73869af2a51b339e537c802afb40db7a7fe.jpg?imageView2/1/w/160/h/220,maoyan_data\images\泰坦尼克号.jpg
怦然心动,"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",2010-07-26(美国),8.9,https://p0.pipi.cn/mmdb/d2dad592b122ff8d3387a93ccab6036f616c1.jpg?imageView2/1/w/160/h/220,maoyan_data\images\怦然心动.jpg
小偷家族,"中川雅也,安藤樱,松冈茉优",2018-08-03,8.1,https://p0.pipi.cn/mmdb/d2dad5925372ffd7c387a9d01bddad81625c3.jpg?imageView2/1/w/160/h/220,maoyan_data\images\小偷家族.jpg
阿甘正传,"汤姆·汉克斯,罗宾·怀特,加里·西尼斯",1994-07-06(美国),9.4,https://p0.pipi.cn/mmdb/d2dad592c7e7e1cbaeb53576d1b09602884b4.jpg?imageView2/1/w/160/h/220,maoyan_data\images\阿甘正传.jpg
楚门的世界,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",1998(罗马尼亚),8.9,https://p0.pipi.cn/mmdb/54ecde3311ec7ed236313952587c9dacfce00.jpg?imageView2/1/w/160/h/220,maoyan_data\images\楚门的世界.jpg
千与千寻,"柊瑠美,周冬雨,井柏然",2019-06-21,9.3,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d236ddd2bcc439d544928aa.jpg?imageView2/1/w/160/h/220,maoyan_data\images\千与千寻.jpg
哪吒之魔童降世,"吕艳婷,囧森瑟夫,瀚墨",2019-07-26,9.6,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/0fa33452c8b8d3c8be8dd4d912221f3e004d0.jpeg?imageView2/1/w/160/h/220,maoyan_data\images\哪吒之魔童降世.jpg
寻梦环游记,"安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔",2017-11-24,9.6,https://p0.pipi.cn/mmdb/d2dad5927e10fa5bf1c6965cde0f9caa906e5.jpg?imageView2/1/w/160/h/220,maoyan_data\images\寻梦环游记.jpg
情书,"中山美穗,丰川悦司,酒井美纪",1999-03-01,8.9,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3345bb78b813d693de2c72cd7f5db329a8.jpg?imageView2/1/w/160/h/220,maoyan_data\images\情书.jpg
触不可及,"弗朗索瓦·克鲁塞,奥马·希,安娜·勒尼",2011-11-02(法国),9.1,https://p0.pipi.cn/mmdb/d2dad592b125bf0e1371f79c86f28a6ebe751.jpg?imageView2/1/w/160/h/220,maoyan_data\images\触不可及.jpg
辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-11-30(美国),9.2,https://p0.pipi.cn/mmdb/d2dad592c7e7e107ac2ff71cc74420258e502.jpg?imageView2/1/w/160/h/220,maoyan_data\images\辛德勒的名单.jpg
少年派的奇幻漂流,"苏拉·沙玛,伊尔凡·可汗,塔布",2012-11-22,9.0,https://p0.pipi.cn/mmdb/d2dad592c7e7e1ecd8b5352321a661031cdb4.jpg?imageView2/1/w/160/h/220,maoyan_data\images\少年派的奇幻漂流.jpg
何以为家,"赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔",2019-04-29,9.3,https://p0.pipi.cn/mmdb/d2dad5925372ff7e12be128f63618829dff25.jpg?imageView2/1/w/160/h/220,maoyan_data\images\何以为家.jpg
放牛班的春天,"热拉尔·朱诺,弗朗西斯·贝尔兰德,凯德·麦拉德",2004-10-16,9.5,https://p0.pipi.cn/mmdb/25bfd6927a37e1d23c92359b8bc611a4cd8a2.jpg?imageView2/1/w/160/h/220,maoyan_data\images\放牛班的春天.jpg
摔跤吧！爸爸,"阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡",2017-05-05,9.8,https://p0.pipi.cn/mmdb/d2dad592e7a0e1537c3139c28ec3b5def86ae.jpg?imageView2/1/w/160/h/220,maoyan_data\images\摔跤吧！爸爸.jpg
忠犬八公的故事,"Forest,理查·基尔,琼·艾伦",2009-06-13(美国),9.3,https://p0.pipi.cn/basicdata/54ecde2f06d8d3281e8ea31a75cf6f62cbf7d.jpg?imageView2/1/w/160/h/220,maoyan_data\images\忠犬八公的故事.jpg
死亡诗社,"罗宾·威廉姆斯,伊桑·霍克,罗伯特·肖恩·莱纳德",1989-06-02(加拿大),8.7,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d236339e301cab7bb7be389.jpg?imageView2/1/w/160/h/220,maoyan_data\images\死亡诗社.jpg
小丑,"杰昆·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温",2019-10-04(美国),8.6,https://p0.pipi.cn/mmdb/d2dad592537923d23c030cd4e3674a1227733.jpg?imageView2/1/w/160/h/220,maoyan_data\images\小丑.jpg
当幸福来敲门,"威尔·史密斯,贾登·史密斯,坦迪·牛顿",2008-01-17,9.3,https://p0.pipi.cn/mmdb/d2dad592c7e7e111e51789a5566c623326832.jpg?imageView2/1/w/160/h/220,maoyan_data\images\当幸福来敲门.jpg
三傻大闹宝莱坞,"阿米尔·汗,卡琳娜·卡普,马德哈万",2011-12-08,9.1,https://p0.pipi.cn/mmdb/d2dad592c7e7e1537c21f0af64bd3585038d7.jpg?imageView2/1/w/160/h/220,maoyan_data\images\三傻大闹宝莱坞.jpg
看不见的客人,"马里奥·卡萨斯,阿娜·瓦格纳,何塞·卡罗纳多",2017-09-15,9.4,https://p0.pipi.cn/mmdb/54ecde927e1b1251ba02ffeb3c048e834cf19.jpg?imageView2/1/w/160/h/220,maoyan_data\images\看不见的客人.jpg
活着,"葛优,巩俐,牛犇",1994-05-17(法国),9.0,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d236395b7bdd569bf8bb083.jpg?imageView2/1/w/160/h/220,maoyan_data\images\活着.jpg
你的名字。,"上白石萌音,佟心竹,神木隆之介",2016-12-02,9.3,https://p0.pipi.cn/mmdb/54ecde717a3923d7c37a35fa96e6a978e6fda.jpg?imageView2/1/w/160/h/220,maoyan_data\images\你的名字。.jpg
教父,"马龙·白兰度,阿尔·帕西诺,詹姆斯·凯恩",1972-03-14(美国),9.3,https://p0.pipi.cn/mmdb/25bfd692f2ab12c9fd8d3354cc37282ed38e9.png?imageView2/1/w/160/h/220,maoyan_data\images\教父.jpg
熔炉,"孔刘,郑裕美,金智英",2011-09-22(韩国),8.8,https://p0.pipi.cn/mmdb/d2dad592b122ff7a357df5d2476a1d41663e0.jpg?imageView2/1/w/160/h/220,maoyan_data\images\熔炉.jpg
天堂电影院,"菲利浦·诺瓦雷,雅克·贝汉,马克·莱昂纳蒂",2021-06-11,9.3,https://p0.pipi.cn/mmdb/d2dad592c7e7e12c95e5bc932c06e07c8fb88.jpg?imageView2/1/w/160/h/220,maoyan_data\images\天堂电影院.jpg
